,EM,BLEU,brevity_penalty,ratio,translation_length,reference_length,precisions_0,precisions_1,precisions_2,precisions_3,max_new_tokens,temperature,experiment_name
0,20.0,0.2817600384553173,0.5688337390504964,0.6393178893178894,1987,3108,0.7469818913480886,0.5667372881355932,0.4278523489932886,0.33234597156398105,45,1.0,/root/experiments/t2c_concode_220428_v19/
1,20.0,0.28626324073292947,0.5840010207806045,0.6502574002574003,2021,3108,0.7418397626112759,0.562955254942768,0.42206366630076836,0.32752613240418116,47,1.0,/root/experiments/t2c_concode_220428_v19/
2,20.0,0.29177439539511363,0.5986099373202876,0.6608751608751608,2054,3108,0.7372262773722628,0.560613810741688,0.42048517520215634,0.3247863247863248,49,1.0,/root/experiments/t2c_concode_220428_v19/
3,20.0,0.2956729689643974,0.6122298580015186,0.6708494208494209,2085,3108,0.7315436241610739,0.5558912386706949,0.4162248144220573,0.3213885778275476,51,1.0,/root/experiments/t2c_concode_220428_v19/
4,20.0,0.29980165964188876,0.6253126301305424,0.6805019305019305,2115,3108,0.7268431001890359,0.5515873015873016,0.4133611691022965,0.31883259911894274,53,1.0,/root/experiments/t2c_concode_220428_v19/
5,20.0,0.3031781896941327,0.6382973432535306,0.6901544401544402,2145,3108,0.7222739981360671,0.5464320625610948,0.4090441932168551,0.3152762730227519,55,1.0,/root/experiments/t2c_concode_220428_v19/
6,20.0,0.30831650655158027,0.6622677055631646,0.7081724581724582,2201,3108,0.7125340599455041,0.5366317792578497,0.4000999000999001,0.3070452155625657,60,1.0,/root/experiments/t2c_concode_220428_v19/
7,20.0,0.3194221317016328,0.7078985082774902,0.7432432432432432,2310,3108,0.6945045434876677,0.5223880597014925,0.38749407863571766,0.29487817006464445,70,1.0,/root/experiments/t2c_concode_220428_v19/
8,20.0,0.3236741887279091,0.7376850145713523,0.7667310167310167,2383,3108,0.6799496644295302,0.5078809106830122,0.3759157509157509,0.28550863723608444,80,1.0,/root/experiments/t2c_concode_220428_v19/
9,20.0,0.32830896186417063,0.766843674419826,0.7902187902187903,2456,3108,0.6654456654456654,0.4972422571064913,0.36685866194062916,0.2767732962447844,90,1.0,/root/experiments/t2c_concode_220428_v19/
10,20.0,0.3296866634444794,0.7880080196523973,0.8075933075933076,2510,3108,0.6515332536837913,0.4861053504769805,0.35828645607961923,0.2700135685210312,100,1.0,/root/experiments/t2c_concode_220428_v19/
11,20.0,0.33418182083411807,0.9682981713393486,0.9687902187902188,3011,3108,0.5438247011952191,0.4024725274725275,0.29445234708392604,0.22013274336283187,200,1.0,/root/experiments/t2c_concode_220428_v19/
